Orgs,,label
garden silk mills ltd    ,GARDEN SILK MILLS LTD    ,1
ti financial holding ltd ,TI FINANCIAL HOLDING LTD ,1
bgr energy systems ltd   ,BGR ENERGY SYSTEMS LTD   ,1
"autonomous bodies, boards and corporations","Autonomous bodies, boards and corporations",0
gillanders arbuthnot ltd ,GILLANDERS ARBUTHNOT LTD ,1
graphite india ltd       ,GRAPHITE INDIA LTD       ,1
jubilant life science ltd,JUBILANT LIFE SCIENCE LTD,1
newgen software tech ltd ,NEWGEN SOFTWARE TECH LTD ,1
department of space,Department of Space,0
himatsingka seide ltd    ,HIMATSINGKA SEIDE LTD    ,1
madhav marble & granite  ,MADHAV MARBLE & GRANITE  ,1
"general services organisation (dae) (gso), kalpakkam","General Services Organisation (DAE) (GSO), Kalpakkam",0
umang dairies limited    ,UMANG DAIRIES LIMITED    ,1
national crime investigation bureau (registered under govt. of india),National Crime Investigation Bureau (Registered Under Govt. Of India),0
department of personnel and training,Department of Personnel and Training,0
centre for development of telematics (c-dot),Centre for Development of Telematics (C-DOT),0
zydus wellness limited   ,ZYDUS WELLNESS LIMITED   ,1
m&m fin. services ltd    ,M&M FIN. SERVICES LTD    ,1
mps limited              ,MPS LIMITED              ,1
indian railway finance corporation (public sector undertaking),Indian Railway Finance Corporation (public sector undertaking),0
mahindra logistic limited,MAHINDRA LOGISTIC LIMITED,1
maha rashtra apex copr. l,MAHA RASHTRA APEX COPR. L,1
geecee ventures limited  ,GEECEE VENTURES LIMITED  ,1
vrl logistics limited    ,VRL LOGISTICS LIMITED    ,1
steel authority of india (sail),Steel Authority of India (SAIL),0
telecom disputes settlement and appellate authority,Telecom Disputes Settlement and Appellate Authority,0
niit limited             ,NIIT LIMITED             ,1
directorate general of mines safety (dgms),Directorate General of Mines Safety (DGMS),0
of the dos.,of the DoS.,0
aym syntex limited       ,AYM SYNTEX LIMITED       ,1
hbl power systems ltd.   ,HBL POWER SYSTEMS LTD.   ,1
national human rights commission (nhrc),National Human Rights Commission (NHRC),0
indian institute of forest management,Indian Institute of Forest Management,0
national handloom development corporation (nhdc),National Handloom Development Corporation (NHDC),0
"institute of nano science and technology, mohali*","Institute of Nano Science and Technology, Mohali*",0
prestige estate ltd      ,PRESTIGE ESTATE LTD      ,1
omax autos ltd           ,OMAX AUTOS LTD           ,1
government opium and alkaloid factories,Government Opium and Alkaloid Factories,0
alpa laboratories ltd    ,ALPA LABORATORIES LTD    ,1
orient abrasive ltd      ,ORIENT ABRASIVE LTD      ,1
excel industries ltd     ,EXCEL INDUSTRIES LTD     ,1
textiles committee,Textiles Committee,0
"atomic energy education society (aees), mumbai","Atomic Energy Education Society (AEES), Mumbai",0
offences),offences),0
sharon bio-medi ltd      ,SHARON BIO-MEDI LTD      ,1
orissa min dev co ltd    ,ORISSA MIN DEV CO LTD    ,1
jindal poly films limited,JINDAL POLY FILMS LIMITED,1
indian rubber manufacturers research association (irmra),Indian Rubber Manufacturers Research Association (IRMRA),0
national highways tribunal,National Highways Tribunal,0
"national institute of science education and research, bhubaneswar","National Institute of Science Education and Research, Bhubaneswar",0
wushu association of india,Wushu Association of India,0
"basic chemicals, pharmaceuticals and cosmetics export promotion council","Basic Chemicals, Pharmaceuticals and Cosmetics Export Promotion Council",0
garware tech fibres ltd  ,GARWARE TECH FIBRES LTD  ,1
gallantt metal limited   ,GALLANTT METAL LIMITED   ,1
securities exchange board of india (sebi),Securities Exchange Board of India (SEBI),0
paralympic committee of india,Paralympic Committee of India,0
"directorate of vanaspati, vegetable oils and fats","Directorate of Vanaspati, Vegetable Oils and Fats",0
laurus labs limited      ,LAURUS LABS LIMITED      ,1
albert david limited     ,ALBERT DAVID LIMITED     ,1
north central zone cultural centre,North Central Zone Cultural Centre,0
national institute for pharmaceutical education and research,National Institute for Pharmaceutical Education and Research,0
gi engineering solns ltd ,GI ENGINEERING SOLNS LTD ,1
kavveri tel. ltd.        ,KAVVERI TEL. LTD.        ,1
pfizer ltd               ,PFIZER LTD               ,1
nagreeka exports ltd.    ,NAGREEKA EXPORTS LTD.    ,1
lotus eye hosp & inst l  ,LOTUS EYE HOSP & INST L  ,1
"national centre for earth science studies(ncess), thiruvananthapuram","National Centre for Earth Science Studies(NCESS), Thiruvananthapuram",0
marksans pharma limited  ,MARKSANS PHARMA LIMITED  ,1
orient press limited     ,ORIENT PRESS LIMITED     ,1
muthoot finance limited  ,MUTHOOT FINANCE LIMITED  ,1
morepen lab. ltd         ,MOREPEN LAB. LTD         ,1
goldiam international ltd,GOLDIAM INTERNATIONAL LTD,1
"bureau of police research and development, libraries network","Bureau of Police Research and Development, Libraries Network",0
hindustan copper ltd     ,HINDUSTAN COPPER LTD     ,1
castex technologies ltd. ,CASTEX TECHNOLOGIES LTD. ,1
arvind limited           ,ARVIND LIMITED           ,1
apex board,Apex Board,0
adf foods limited        ,ADF FOODS LIMITED        ,1
indian institute of food processing technology,Indian Institute of Food Processing Technology,0
satin credit net ltd     ,SATIN CREDIT NET LTD     ,1
oswal chem. & fert. ltd. ,OSWAL CHEM. & FERT. LTD. ,1
bpl ltd                  ,BPL LTD                  ,1
steel strips wheels ltd. ,STEEL STRIPS WHEELS LTD. ,1
vls finance ltd          ,VLS FINANCE LTD          ,1
strides pharma sci ltd   ,STRIDES PHARMA SCI LTD   ,1
ge power india limited   ,GE POWER INDIA LIMITED   ,1
ministry of power,Ministry of Power,0
"central silk board, bangalore","Central Silk Board, Bangalore",0
gandhi smriti and darshan samiti (gsds),Gandhi Smriti and Darshan Samiti (GSDS),0
sandhar technologies ltd ,SANDHAR TECHNOLOGIES LTD ,1
23 indian institutes of technology (iits),23 Indian Institutes of Technology (IITs),0
lakshmi pre scre ltd     ,LAKSHMI PRE SCRE LTD     ,1
british india corporation ltd. (bic),British India Corporation Ltd. (BIC),0
forward markets commission,Forward Markets Commission,0
kpr mill ltd.            ,KPR MILL LTD.            ,1
minerals and metals trading corporation of india (mmtc),Minerals and Metals Trading Corporation of India (MMTC),0
"eepc india (formerly, engineering export promotion council), largest export promotion","EEPC India (Formerly, Engineering Export Promotion Council), largest export promotion",0
pension fund regulatory and development authority,Pension Fund Regulatory and Development Authority,0
"standardisation, testing and quality certification (stqc)","Standardisation, Testing and Quality Certification (STQC)",0
karnataka antibiotics and pharmaceuticals,Karnataka Antibiotics and Pharmaceuticals,0
ratnamani met & tub ltd. ,RATNAMANI MET & TUB LTD. ,1
quintegra solutions ltd. ,QUINTEGRA SOLUTIONS LTD. ,1
lic housing finance ltd  ,LIC HOUSING FINANCE LTD  ,1
marico limited           ,MARICO LIMITED           ,1
take solutions ltd       ,TAKE SOLUTIONS LTD       ,1
rallis india ltd         ,RALLIS INDIA LTD         ,1
planning and monitoring,Planning and Monitoring,0
godrej properties ltd    ,GODREJ PROPERTIES LTD    ,1
sundaram multi pap ltd   ,SUNDARAM MULTI PAP LTD   ,1
reliance industries ltd  ,RELIANCE INDUSTRIES LTD  ,1
manpasand beverages ltd. ,MANPASAND BEVERAGES LTD. ,1
syndicate bank           ,SYNDICATE BANK           ,1
assam company india ltd  ,ASSAM COMPANY INDIA LTD  ,1
pidilite industries ltd  ,PIDILITE INDUSTRIES LTD  ,1
insurance regulatory and development authority,Insurance Regulatory and Development Authority,0
hilton metal forging ltd ,HILTON METAL FORGING LTD ,1
spacenet enters ind ltd  ,SPACENET ENTERS IND LTD  ,1
lovable lingerie ltd     ,LOVABLE LINGERIE LTD     ,1
mcdowell holdings ltd.   ,MCDOWELL HOLDINGS LTD.   ,1
kss limited              ,KSS LIMITED              ,1
,,0
tata sponge iron limited ,TATA SPONGE IRON LIMITED ,1
earth system science organization(esso),Earth System Science Organization(ESSO),0
swelect energy sys ltd   ,SWELECT ENERGY SYS LTD   ,1
national institute of disaster management (nidm),National Institute of Disaster Management (NIDM),0
society for applied microwave electronic engineering and research (sameer),Society for Applied Microwave Electronic Engineering and Research (SAMEER),0
department of ex-servicemen welfare,Department of Ex-Servicemen Welfare,0
international const ltd  ,INTERNATIONAL CONST LTD  ,1
euro ceramics ltd        ,EURO CERAMICS LTD        ,1
triveni turbine limited  ,TRIVENI TURBINE LIMITED  ,1
"national institute of solar energy (nise), gurgaon","National Institute of Solar Energy (NISE), Gurgaon",0
law commission of india,Law Commission of India,0
north east zone cultural centre,North East Zone Cultural Centre,0
indian metals & ferro    ,INDIAN METALS & FERRO    ,1
raymond ltd              ,RAYMOND LTD              ,1
archidply ind. ltd       ,ARCHIDPLY IND. LTD       ,1
salzer electronics ltd   ,SALZER ELECTRONICS LTD   ,1
department of justice,Department of Justice,0
south zone cultural centre,South Zone Cultural Centre,0
national institutes,National Institutes,0
"national centre for polar and ocean research (ncpor), goa","National Centre for Polar and Ocean Research (NCPOR), Goa",0
meghmani organics ltd.   ,MEGHMANI ORGANICS LTD.   ,1
telecom regulatory authority of india (trai),Telecom Regulatory Authority of India (TRAI),0
export inspection agency-kakinada,Export Inspection Agency-Kakinada,0
fortis healthcare ltd    ,FORTIS HEALTHCARE LTD    ,1
competition commission of india,Competition Commission of India,0
national sports federation,National Sports Federation,0
trident limited          ,TRIDENT LIMITED          ,1
department of legal affairs,Department of Legal Affairs,0
moil limited             ,MOIL LIMITED             ,1
piramal phytocare limited,PIRAMAL PHYTOCARE LIMITED,1
airports authority of india,Airports Authority of India,0
bajaj finance limited    ,BAJAJ FINANCE LIMITED    ,1
cl educate limited       ,CL EDUCATE LIMITED       ,1
pt. deendayal upadhyaya institute for the physically handicapped,Pt. Deendayal Upadhyaya Institute for the Physically Handicapped,0
[1],[1],0
department of science & technology,Department of Science & Technology,0
council of architecture (coa),Council of Architecture (COA),0
nahar poly films limited ,NAHAR POLY FILMS LIMITED ,1
pil italica lifestyle ltd,PIL ITALICA LIFESTYLE LTD,1
competition commission of india,Competition Commission of India,0
ind terrain fashions ltd ,IND TERRAIN FASHIONS LTD ,1
guj. apollo ind. ltd.    ,GUJ. APOLLO IND. LTD.    ,1
"laboratory for electro-optics systems (leos), bangalore.","Laboratory for Electro-Optics Systems (LEOS), Bangalore.",0
office of the development commissioner (msme),Office of the Development Commissioner (MSME),0
institute of forest genetics and tree breeding,Institute of Forest Genetics and Tree Breeding,0
"foreman training institute, bangalore","Foreman Training Institute, Bangalore",0
swami vivekananda national institute of rehabilitation training and research,Swami Vivekananda National Institute of Rehabilitation Training and Research,0
bharat fin inclusion ltd ,BHARAT FIN INCLUSION LTD ,1
tvs motor company  ltd   ,TVS MOTOR COMPANY  LTD   ,1
orient electric limited  ,ORIENT ELECTRIC LIMITED  ,1
service organisations,Service Organisations,0
sutlej text & indus ltd  ,SUTLEJ TEXT & INDUS LTD  ,1
pressman advertising ltd ,PRESSMAN ADVERTISING LTD ,1
hil limited              ,HIL LIMITED              ,1
vst tillers tractors ltd ,VST TILLERS TRACTORS LTD ,1
camlin fine sciences ltd ,CAMLIN FINE SCIENCES LTD ,1
arman fin serv ltd       ,ARMAN FIN SERV LTD       ,1
bosch limited            ,BOSCH LIMITED            ,1
jindal saw limited       ,JINDAL SAW LIMITED       ,1
radico khaitan ltd       ,RADICO KHAITAN LTD       ,1
zensar technologies  ltd ,ZENSAR TECHNOLOGIES  LTD ,1
kaya limited             ,KAYA LIMITED             ,1
inspirisys solutions ltd ,INSPIRISYS SOLUTIONS LTD ,1
"national atmospheric research laboratory (narl), gadanki.","National Atmospheric Research Laboratory (NARL), Gadanki.",0
suprajit engineering ltd ,SUPRAJIT ENGINEERING LTD ,1
rain forest research institute,Rain Forest Research Institute,0
narcotics control bureau (ncb),Narcotics Control Bureau (NCB),0
directorate general of employment and training (dge&t),Directorate General of Employment and Training (DGE&T),0
kopran ltd               ,KOPRAN LTD               ,1
tide water oil ltd       ,TIDE WATER OIL LTD       ,1
statutory bodies,Statutory Bodies,0
cubex tubings ltd        ,CUBEX TUBINGS LTD        ,1
nilkamal limited         ,NILKAMAL LIMITED         ,1
consultancy development centre,Consultancy Development Centre,0
venus remedies limited   ,VENUS REMEDIES LIMITED   ,1
jayant agro organics ltd ,JAYANT AGRO ORGANICS LTD ,1
garden reach ship&eng ltd,GARDEN REACH SHIP&ENG LTD,1
sintex plastics tech ltd ,SINTEX PLASTICS TECH LTD ,1
i g petrochemicals ltd   ,I G PETROCHEMICALS LTD   ,1
themis medicare ltd.     ,THEMIS MEDICARE LTD.     ,1
shree ganesh forg. ltd   ,SHREE GANESH FORG. LTD   ,1
stl global limited       ,STL GLOBAL LIMITED       ,1
fut lifestyle fash ltd   ,FUT LIFESTYLE FASH LTD   ,1
maral overseas ltd       ,MARAL OVERSEAS LTD       ,1
barak valley cem. ltd.   ,BARAK VALLEY CEM. LTD.   ,1
aster dm healthcare ltd. ,ASTER DM HEALTHCARE LTD. ,1
national crime records bureau,National Crime Records Bureau,0
future enterprises ltd   ,FUTURE ENTERPRISES LTD   ,1
creative eye limited     ,CREATIVE EYE LIMITED     ,1
burnpur cement ltd.      ,BURNPUR CEMENT LTD.      ,1
jk paper limited         ,JK PAPER LIMITED         ,1
national foundation for communal harmony (nfch),National Foundation for Communal Harmony (NFCH),0
idfc first bank limited  ,IDFC FIRST BANK LIMITED  ,1
autonomous bodies,Autonomous Bodies,0
hyderabad*,Hyderabad*,0
the new india assu co ltd,THE NEW INDIA ASSU CO LTD,1
"birbal sahni institute of palaeobotany, lucknow*","Birbal Sahni Institute of Palaeobotany, Lucknow*",0
indiabulls real est. ltd ,INDIABULLS REAL EST. LTD ,1
national co-operative consumers' federation of india limited (nccf),National Co-operative Consumers' Federation of India Limited (NCCF),0
south central zone cultural centre,South Central Zone Cultural Centre,0
3p land holdings limited ,3P LAND HOLDINGS LIMITED ,1
national test house,National Test House,0
srf ltd                  ,SRF LTD                  ,1
bank of india            ,BANK OF INDIA            ,1
krbl limited             ,KRBL LIMITED             ,1
kabra extrusion technik l,KABRA EXTRUSION TECHNIK L,1
indian institute of corporate affairs (iica),Indian Institute of Corporate Affairs (IICA),0
ministry of home affairs,Ministry of Home Affairs,0
magma fincorp limited    ,MAGMA FINCORP LIMITED    ,1
central armed police forces and paramilitary forces,Central Armed Police Forces and Paramilitary forces,0
reliance capital ltd     ,RELIANCE CAPITAL LTD     ,1
andhra sugars ltd        ,ANDHRA SUGARS LTD        ,1
gkw limited              ,GKW LIMITED              ,1
the ruby mills ltd       ,THE RUBY MILLS LTD       ,1
"indian institute of geomagnetism, mumbai*","Indian Institute of Geomagnetism, Mumbai*",0
jamna auto ind ltd       ,JAMNA AUTO IND LTD       ,1
paisalo digital limited  ,PAISALO DIGITAL LIMITED  ,1
astron paper bord mil ltd,ASTRON PAPER BORD MIL LTD,1
integrated finance division.,Integrated Finance Division.,0
shilpi cable tech ltd    ,SHILPI CABLE TECH LTD    ,1
a2z infra engineering ltd,A2Z INFRA ENGINEERING LTD,1
department of defence production,Department of Defence Production,0
sri adhikari bros.       ,SRI ADHIKARI BROS.       ,1
"kendriya hindi sansthan (khs), agra","Kendriya Hindi Sansthan (KHS), Agra",0
"indian council of forestry research and education (icfre), dehradun","Indian Council of Forestry Research and Education (ICFRE), Dehradun",0
[3][4],[3][4],0
national securities depository limited (nsdl),National Securities Depository Limited (NSDL),0
orient cement ltd.       ,ORIENT CEMENT LTD.       ,1
sri havisha hosp & infr l,SRI HAVISHA HOSP & INFR L,1
zee media corporation ltd,ZEE MEDIA CORPORATION LTD,1
ptc india limited        ,PTC INDIA LIMITED        ,1
hdfc bank ltd            ,HDFC BANK LTD            ,1
maharashtra seamless ltd ,MAHARASHTRA SEAMLESS LTD ,1
indian police service,Indian Police Service,0
godrej consumer products ,GODREJ CONSUMER PRODUCTS ,1
centre for cultural resources and training (ccrt),Centre for Cultural Resources and Training (CCRT),0
gufic biosciences ltd.   ,GUFIC BIOSCIENCES LTD.   ,1
engineering export promotion council (eepc),Engineering Export Promotion Council (EEPC),0
pnb gilts limited        ,PNB GILTS LIMITED        ,1
future consumer limited  ,FUTURE CONSUMER LIMITED  ,1
punjab chem & crop prot l,PUNJAB CHEM & CROP PROT L,1
national buildings organisation (nbo),National Buildings Organisation (NBO),0
j & k bank ltd.          ,J & K BANK LTD.          ,1
aditya birla money ltd   ,ADITYA BIRLA MONEY LTD   ,1
aarvee den. & exp. ltd   ,AARVEE DEN. & EXP. LTD   ,1
psus / joint ventures,PSUs / Joint Ventures,0
hindustan oil exploration,HINDUSTAN OIL EXPLORATION,1
amber enterprises (i) ltd,AMBER ENTERPRISES (I) LTD,1
zonal cultural centres:,Zonal Cultural Centres:,0
lal bahadur shastri national academy of administration (lbsnaa),Lal Bahadur Shastri National Academy of Administration (LBSNAA),0
il&fs trans net ltd      ,IL&FS TRANS NET LTD      ,1
tainwala chemical and pla,TAINWALA CHEMICAL AND PLA,1
mvl limited              ,MVL LIMITED              ,1
banaras beads ltd        ,BANARAS BEADS LTD        ,1
dr. reddy's laboratories ,DR. REDDY'S LABORATORIES ,1
national sample survey office (nsso),National Sample Survey Office (NSSO),0
directorate of naval intelligence,Directorate of Naval Intelligence,0
sjvn ltd                 ,SJVN LTD                 ,1
cyient limited           ,CYIENT LIMITED           ,1
hind syntex ltd          ,HIND SYNTEX LTD          ,1
"wadia institute of himalayan geology, dehradun*","Wadia Institute of Himalayan Geology, Dehradun*",0
sanwaria consumer limited,SANWARIA CONSUMER LIMITED,1
radaan mediaworks (i) ltd,RADAAN MEDIAWORKS (I) LTD,1
apollo hospitals enter. l,APOLLO HOSPITALS ENTER. L,1
titan company limited    ,TITAN COMPANY LIMITED    ,1
power fin corp ltd.      ,POWER FIN CORP LTD.      ,1
bharat petroleum corp  lt,BHARAT PETROLEUM CORP  LT,1
panama petrochem ltd     ,PANAMA PETROCHEM LTD     ,1
national commission for backward classes,National Commission for Backward Classes,0
adhunik industries ltd   ,ADHUNIK INDUSTRIES LTD   ,1
v. v. giri national labour institute,V. V. Giri National Labour Institute,0
mahindra cie auto ltd    ,MAHINDRA CIE AUTO LTD    ,1
7 indian institutes of science education and research (iisers),7 Indian Institutes of Science Education and Research (IISERs),0
rohit ferro-tech limited ,ROHIT FERRO-TECH LIMITED ,1
century enka ltd         ,CENTURY ENKA LTD         ,1
sarla perf. fibers ltd   ,SARLA PERF. FIBERS LTD   ,1
the ugar sugar works ltd ,THE UGAR SUGAR WORKS LTD ,1
national crime records bureau (ncrb),National Crime Records Bureau (NCRB),0
star paper mills ltd     ,STAR PAPER MILLS LTD     ,1
elgi equipments ltd      ,ELGI EQUIPMENTS LTD      ,1
gujarat pipavav port ltd ,GUJARAT PIPAVAV PORT LTD ,1
the india cements limited,THE INDIA CEMENTS LIMITED,1
tarapur transformers ltd ,TARAPUR TRANSFORMERS LTD ,1
oil industry safety directorate,Oil Industry Safety Directorate,0
medical council of india,Medical Council of India,0
hindustan copper limited (hcl),Hindustan Copper Limited (HCL),0
ccl products (i) ltd     ,CCL PRODUCTS (I) LTD     ,1
jubilant industries ltd  ,JUBILANT INDUSTRIES LTD  ,1
metkore alloys & ind ltd ,METKORE ALLOYS & IND LTD ,1
mahindra holidays ltd    ,MAHINDRA HOLIDAYS LTD    ,1
vindhya telelinks ltd    ,VINDHYA TELELINKS LTD    ,1
central board of secondary education (cbse),Central Board of Secondary Education (CBSE),0
irb infra dev ltd.       ,IRB INFRA DEV LTD.       ,1
rswm limited             ,RSWM LIMITED             ,1
"kalakshetra foundation, chennai","Kalakshetra Foundation, Chennai",0
gammon infra proj ltd.   ,GAMMON INFRA PROJ LTD.   ,1
comptroller and auditor general of india (cag),Comptroller and Auditor General of India (CAG),0
venky's (india) limited  ,VENKY'S (INDIA) LIMITED  ,1
stampede capital ltd     ,STAMPEDE CAPITAL LTD     ,1
windsor machines limited ,WINDSOR MACHINES LIMITED ,1
open network for digital commerce,Open Network for Digital Commerce,0
central public sector units,Central Public Sector Units,0
income tax appellate tribunal (itat),Income Tax Appellate Tribunal (ITAT),0
satyajit ray film and television institute,Satyajit Ray Film and Television Institute,0
music broadcast limited  ,MUSIC BROADCAST LIMITED  ,1
indo thai sec ltd        ,INDO THAI SEC LTD        ,1
basf india ltd           ,BASF INDIA LTD           ,1
zen technologies limited ,ZEN TECHNOLOGIES LIMITED ,1
praj industries ltd      ,PRAJ INDUSTRIES LTD      ,1
mangalam drug & chem ltd ,MANGALAM DRUG & CHEM LTD ,1
alphageo (india) limited ,ALPHAGEO (INDIA) LIMITED ,1
bal pharma ltd.          ,BAL PHARMA LTD.          ,1
future mkt networks ltd  ,FUTURE MKT NETWORKS LTD  ,1
castrol india limited    ,CASTROL INDIA LIMITED    ,1
cox & kings limited      ,COX & KINGS LIMITED      ,1
compuage infocom ltd     ,COMPUAGE INFOCOM LTD     ,1
tropical forest research institute,Tropical Forest Research Institute,0
biofil chem & pharma ltd.,BIOFIL CHEM & PHARMA LTD.,1
sahitya akademi,Sahitya Akademi,0
navkar corporation ltd.  ,NAVKAR CORPORATION LTD.  ,1
"all india institute of physical medicine and rehabilitation (aiipmr), mumbai","All India Institute of Physical Medicine and Rehabilitation (AIIPMR), Mumbai",0
air force naval housing board (afnhb),Air Force Naval Housing Board (AFNHB),0
intelligence,Intelligence,0
airports economic regulatory authority,Airports Economic Regulatory Authority,0
mrpl                     ,MRPL                     ,1
national consumer disputes redressal commission,National Consumer Disputes Redressal Commission,0
indo rama synthetics ltd ,INDO RAMA SYNTHETICS LTD ,1
pokarna limited          ,POKARNA LIMITED          ,1
electrosteel castings ltd,ELECTROSTEEL CASTINGS LTD,1
revathi equipment ltd    ,REVATHI EQUIPMENT LTD    ,1
banaras locomotive works,Banaras Locomotive Works,0
aspinwall & co ltd       ,ASPINWALL & CO LTD       ,1
hero motocorp limited    ,HERO MOTOCORP LIMITED    ,1
sardar vallabhbhai patel national police academy,Sardar Vallabhbhai Patel National Police Academy,0
wipro ltd                ,WIPRO LTD                ,1
future retail limited    ,FUTURE RETAIL LIMITED    ,1
plastiblends india ltd   ,PLASTIBLENDS INDIA LTD   ,1
dpsc limited             ,DPSC LIMITED             ,1
fiem industries limited  ,FIEM INDUSTRIES LIMITED  ,1
pae limited              ,PAE LIMITED              ,1
gayatri highways limited ,GAYATRI HIGHWAYS LIMITED ,1
precision camshafts ltd. ,PRECISION CAMSHAFTS LTD. ,1
the grob tea company ltd ,THE GROB TEA COMPANY LTD ,1
ksk energy ventures ltd  ,KSK ENERGY VENTURES LTD  ,1
scheduled tribes and other traditional forest dwellers,Scheduled Tribes and Other Traditional Forest Dwellers,0
"indian institute of space science and technology (iist), thiruvananthapuram – india's","Indian Institute of Space Science and Technology (IIST), Thiruvananthapuram – India's",0
shyam century ferrous ltd,SHYAM CENTURY FERROUS LTD,1
nesco ltd.               ,NESCO LTD.               ,1
savita oil technolo. ltd ,SAVITA OIL TECHNOLO. LTD ,1
responsive industries ltd,RESPONSIVE INDUSTRIES LTD,1
eurotex industries ltd   ,EUROTEX INDUSTRIES LTD   ,1
"victoria memorial hall, kolkata","Victoria Memorial Hall, Kolkata",0
wildlife institute of india (wii),Wildlife Institute of India (WII),0
tgb banquets&hotels ltd  ,TGB BANQUETS&HOTELS LTD  ,1
ministry of textiles,Ministry of Textiles,0
"raman research institute, bangalore*","Raman Research Institute, Bangalore*",0
jtekt india limited      ,JTEKT INDIA LIMITED      ,1
ausom enterprise limited ,AUSOM ENTERPRISE LIMITED ,1
"jawaharlal nehru centre for advanced scientific research, bangalore*","Jawaharlal Nehru Centre for Advanced Scientific Research, Bangalore*",0
securities and exchange board of india,Securities and Exchange Board of India,0
action const equip ltd   ,ACTION CONST EQUIP LTD   ,1
national manufacturing competitiveness council (nmcc),National Manufacturing Competitiveness Council (NMCC),0
services sports control board,Services Sports Control Board,0
reliance communications l,RELIANCE COMMUNICATIONS L,1
ultratech cement limited ,ULTRATECH CEMENT LIMITED ,1
ahluwalia cont ind ltd   ,AHLUWALIA CONT IND LTD   ,1
omaxe limited            ,OMAXE LIMITED            ,1
somany ceramics limited  ,SOMANY CERAMICS LIMITED  ,1
national cooperative development corporation (ncdc) - a statutory corporation,National Cooperative Development Corporation (NCDC) - a Statutory Corporation,0
welspun enterprises ltd. ,WELSPUN ENTERPRISES LTD. ,1
parenteral drugs ltd     ,PARENTERAL DRUGS LTD     ,1
sumeet ind limited       ,SUMEET IND LIMITED       ,1
national skill development corporation (nsdc),National Skill Development Corporation (NSDC),0
cipla ltd                ,CIPLA LTD                ,1
dhanuka agritech ltd     ,DHANUKA AGRITECH LTD     ,1
united bank of india     ,UNITED BANK OF INDIA     ,1
uttam sugar mills ltd.   ,UTTAM SUGAR MILLS LTD.   ,1
uco bank                 ,UCO BANK                 ,1
directorate general of gst intelligence,Directorate General of GST Intelligence,0
balkrishna paper mills l ,BALKRISHNA PAPER MILLS L ,1
ufo moviez india ltd.    ,UFO MOVIEZ INDIA LTD.    ,1
cadila healthcare limited,CADILA HEALTHCARE LIMITED,1
sicagen india limited    ,SICAGEN INDIA LIMITED    ,1
tci finance ltd          ,TCI FINANCE LTD          ,1
"centre for disaster management, lbsnaa, mussoorie","Centre for Disaster Management, LBSNAA, Mussoorie",0
"bharatiya nabhkiya vidyut nigam limited (bhavini), kalpakkam, tamil nadu","Bharatiya Nabhkiya Vidyut Nigam Limited (BHAVINI), Kalpakkam, Tamil Nadu",0
banco products (i) ltd   ,BANCO PRODUCTS (I) LTD   ,1
cimmco limited           ,CIMMCO LIMITED           ,1
indian nursing council (inc),Indian Nursing Council (INC),0
hinduja global sols. ltd.,HINDUJA GLOBAL SOLS. LTD.,1
promotion councils,Promotion Councils,0
max financial serv ltd   ,MAX FINANCIAL SERV LTD   ,1
women training directorate,Women Training Directorate,0
kewal kiran clothing ltd ,KEWAL KIRAN CLOTHING LTD ,1
ujjivan fin. servc. ltd. ,UJJIVAN FIN. SERVC. LTD. ,1
ncl industries limited   ,NCL INDUSTRIES LIMITED   ,1
ashima ltd               ,ASHIMA LTD               ,1
sanofi india limited     ,SANOFI INDIA LIMITED     ,1
kaushalya infra dev ltd. ,KAUSHALYA INFRA DEV LTD. ,1
department higher education,Department Higher Education,0
motor & general finance l,MOTOR & GENERAL FINANCE L,1
tourism finance corp. of ,TOURISM FINANCE CORP. OF ,1
atul ltd                 ,ATUL LTD                 ,1
kirloskar electric co ltd,KIRLOSKAR ELECTRIC CO LTD,1
dq entertainment int ltd ,DQ ENTERTAINMENT INT LTD ,1
central board of film certification,Central Board of Film Certification,0
international film festival of india,International Film Festival of India,0
"indian council of medical research (icmr), new delhi","Indian Council of Medical Research (ICMR), New Delhi",0
hitech corporation ltd   ,HITECH CORPORATION LTD   ,1
directorate of standardisation,Directorate of Standardisation,0
ntpc ltd                 ,NTPC LTD                 ,1
neyveli lignite corporation (nlc),Neyveli Lignite Corporation (NLC),0
mrf ltd                  ,MRF LTD                  ,1
xl energy limited        ,XL ENERGY LIMITED        ,1
department of official language,Department of Official Language,0
export inspection agency-kolkata,Export Inspection Agency-Kolkata,0
bil energy systems ltd   ,BIL ENERGY SYSTEMS LTD   ,1
shekhawati poly-yarn ltd.,SHEKHAWATI POLY-YARN LTD.,1
transwarranty fin. ltd.  ,TRANSWARRANTY FIN. LTD.  ,1
ministry of panchayati raj,Ministry of Panchayati Raj,0
ashok leyland ltd        ,ASHOK LEYLAND LTD        ,1
amateur kabaddi federation of india,Amateur Kabaddi Federation of India,0
oriental bank of commerce,ORIENTAL BANK OF COMMERCE,1
research,Research,0
alchemist ltd            ,ALCHEMIST LTD            ,1
konkan railway corporation (public sector undertaking),Konkan Railway Corporation (public sector undertaking),0
bharti airtel limited    ,BHARTI AIRTEL LIMITED    ,1
taj gvk hotels & resorts ,TAJ GVK HOTELS & RESORTS ,1
surana telecom and pow lt,SURANA TELECOM AND POW LT,1
usha martin edu & sol ltd,USHA MARTIN EDU & SOL LTD,1
